Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
91	-	Base	1	0.000911813	0.00278294	0.00187112	-	-45499.7	8559.11	1.06847e-07	116103	agefirstsex.baseline	Auto-ImpOnly	1	Auto-ImpOnly:1	0.00732606	0.124461579621243
92	-	Base	1	0.000372371	0.0024018	0.00202942	-	-28566.8	8393.56	0.000666329	116103	agefirstsex.baseline	Auto-ImpOnly	2	Auto-ImpOnly:2	0.0019489	0.191067268715686
93	-	Base	1	0.00110865	0.00260586	0.00149722	-	-50438.6	8600.12	4.54043e-09	116103	agefirstsex.baseline	Auto-ImpOnly	3	Auto-ImpOnly:3	0.0148448	0.0746827171804268
94	-	Base	1	0.000322352	0.00149802	0.00117567	-	-27194	8605.83	0.00157947	116103	agefirstsex.baseline	Auto-ImpOnly	4	Auto-ImpOnly:4	0.0165877	0.0194331944754246
95	-	Base	1	0.000312353	0.00152774	0.00121538	-	-26242.8	8438.88	0.00187417	116103	agefirstsex.baseline	Auto-ImpOnly	5	Auto-ImpOnly:5	0.00757765	0.0412202991692675
96	-	Base	1	0.000907453	0.00316946	0.00226201	-	-45200.5	8514.71	1.11277e-07	116103	agefirstsex.baseline	Auto-ImpOnly	6	Auto-ImpOnly:6	0.0106043	0.0855740595796045
97	-	Base	1	0.000510392	0.00201574	0.00150534	-	-34381	8640.29	6.9319e-05	116103	agefirstsex.baseline	Auto-ImpOnly	7	Auto-ImpOnly:7	0.00875058	0.0583266480621856
98	-	Base	1	0.000590519	0.00193787	0.00134735	-	-36279.8	8469.18	1.84322e-05	116103	agefirstsex.baseline	Auto-ImpOnly	8	Auto-ImpOnly:8	0.00980753	0.0602107768214831
99	-	Base	1	0.00057798	0.00259326	0.00201528	-	-36412.2	8597.41	2.28959e-05	116103	agefirstsex.baseline	Auto-ImpOnly	9	Auto-ImpOnly:9	0.0108541	0.0532499239918556
100	-	Base	1	0.000611505	0.00202687	0.00141537	-	-36829.5	8455.52	1.33085e-05	116103	agefirstsex.baseline	Auto-ImpOnly	10	Auto-ImpOnly:10	0.00666598	0.0917351987254687
101	-	Base	1	0.00102334	0.00289446	0.00187112	-	-49064.3	8711.75	1.79709e-08	116103	agefirstsex.baseline	Auto-ImpAll	1	Auto-ImpAll:1	0.0105138	0.097333028971447
102	-	Base	1	0.000468355	0.00249778	0.00202942	-	-32918.8	8624.01	0.000135282	116103	agefirstsex.baseline	Auto-ImpAll	2	Auto-ImpAll:2	0.0039762	0.117789598108747
103	-	Base	1	0.00134391	0.00284113	0.00149722	-	-56735.2	8785.25	1.0766e-10	116103	agefirstsex.baseline	Auto-ImpAll	3	Auto-ImpAll:3	0.018512	0.0725966940363008
104	-	Base	1	0.000498708	0.00167438	0.00117567	-	-34440.1	8761.68	8.48598e-05	116103	agefirstsex.baseline	Auto-ImpAll	4	Auto-ImpAll:4	0.0217962	0.0228805021058717
105	-	Base	1	0.000461798	0.00167718	0.00121538	-	-32822.4	8679.8	0.000156195	116103	agefirstsex.baseline	Auto-ImpAll	5	Auto-ImpAll:5	0.0102277	0.0451516958847053
106	-	Base	1	0.00155201	0.00381402	0.00226201	-	-60226.6	8672.39	3.86918e-12	116103	agefirstsex.baseline	Auto-ImpAll	6	Auto-ImpAll:6	0.0165399	0.093834303714049
